Particle,Degen ID 1,Degen ID 2 ,Comment,extract tag,
Bosons:,,,,,
photon,22,,,1,
pW,24,,,1,
nW,-24,,,1,
Z,23,,,1,
,,,,,
Mesons:,,,,,
pion0,111,,,1,
ppion,211,,,1,
npion,-211,,,1,
,,,,,
pkaon,321,,,1,
nkaon,-321,,,1,
kaon0,311,,,1,
kaon0Long,130,,,1,
kaon0Short,310,,,1,
,,,,,
pD,411,,,1,
nD,-411,,,1,
D0,421,,,1,
D0bar,-421,,,1,
D_strange,431,,,1,
Dbar_strange,-431,,,1,
,,,,,
eta,221,,,1,
,,,,,
Baryons:,,,,,
Xi0,-3322,,,1,
pXi,-3312,,,1,
nXi,3312,,,1,
,,,,,
nsigma,3112,,,1,
nsigma_bar,-3222,,,,
psigma,3222,,,1,
psigma_bar,-3112,,,,
sigma0,3212,,,1,
sigma0_bar,-3212,,,,
,,,,,
neutron,2112,,,1,
nbar,-2112,,,1,
proton,2212,,,1,
,,,,,
pbar,-2212,,,1,
,,,,,
lambda,3122,,Strange or bottom? ,1,
lambda_bar,-3122,,Any flavor? ,1,
lambda_charm,4122,,,1,
,,,,,
omega,3334,,,1,
omega_bar,-3334,,,,
,,,,,
alpha,1000020040,,,,
alpha_bar,-1000020040,,,,
,,,,,
deuteron,1000010020,,,,
dbar,-1000010020,,,,
,,,,,
Leptons: ,,,,,
e-neutrino,12,,,1,
mu-neutrino,14,,,1,
tau-neutrino,16,,,1,
e-neutrino_bar,-12,,,1,
mu-neutrino_bar,-14,,,1,
tau-neutrino_bar,-16,,,1,
,,,,,
positron,-11,,,1,
electron,11,,,1,
,,,,,
pmuon,-13,,,1,
nmuon,13,,,1,
,,,,,
tauon,-15,,,1,
ntauon,15,,,1,
